 (1.113652628923-0.001683094941j),  (0.559075530524+1.591753733048j),  (0.225936511499+0.424842610829j),  (0.225936511499+0.525038899076j),  (0.225936511499+0.421334728317j),  (0.225936511499+0.533479822067j),  (0.225936511499+0.659680032786j),  (0.225936511499+0.529118318563j),  (0.225936511499+0.437197338751j),  (0.225936511499+0.538124576138j),  (0.225936511499+0.432108281643j)
 (1.113652628923+1.591753733048j),  (0.559075530524-0.134848695202j),  (0.225936511499-0.227408352770j),  (0.225936511499+0.395872658312j),  (0.225936511499-0.245162566544j),  (0.225936511499+0.427559633932j),  (0.225936511499+6.457384860670j),  (0.225936511499+0.333954709547j),  (0.225936511499-0.211021516284j),  (0.225936511499+0.342898726588j),  (0.225936511499-0.247885849522j)
 (1.113652628923+0.424842610829j),  (0.559075530524-0.227408352770j),  (0.225936511499+5.501122400145j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.081455348656j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.282777081213j),  (0.225936511499-0.058191067831j),  (0.225936511499-0.081455348656j),  (0.225936511499-0.058191067831j),  (0.225936511499-0.027711971079j)
 (1.113652628923+0.525038899076j),  (0.559075530524+0.395872658312j),  (0.225936511499-0.966442478704j),  (0.225936511499+5.501122400145j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.265722781333j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.282777081213j),  (0.225936511499-0.055824090345j),  (0.225936511499-0.081455348656j),  (0.225936511499-0.058191067831j)
 (1.113652628923+0.421334728317j),  (0.559075530524-0.245162566544j),  (0.225936511499-0.081455348656j),  (0.225936511499-0.966442478704j),  (0.225936511499+5.501122400145j),  (0.225936511499-0.055824090345j),  (0.225936511499-0.265722781333j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.026329368251j),  (0.225936511499-0.055824090345j),  (0.225936511499-0.081455348656j)
 (1.113652628923+0.533479822067j),  (0.559075530524+0.427559633932j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.265722781333j),  (0.225936511499-0.055824090345j),  (0.225936511499+5.501122400145j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.081455348656j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.282777081213j),  (0.225936511499-0.058191067831j)
 (1.113652628923+0.659680032786j),  (0.559075530524+6.457384860670j),  (0.225936511499-0.282777081213j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.265722781333j),  (0.225936511499-0.966442478704j),  (0.225936511499+5.501122400145j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.265722781333j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.282777081213j)
 (1.113652628923+0.529118318563j),  (0.559075530524+0.333954709547j),  (0.225936511499-0.058191067831j),  (0.225936511499-0.282777081213j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.081455348656j),  (0.225936511499-0.966442478704j),  (0.225936511499+5.501122400145j),  (0.225936511499-0.055824090345j),  (0.225936511499-0.265722781333j),  (0.225936511499-0.966442478704j)
 (1.113652628923+0.437197338751j),  (0.559075530524-0.211021516284j),  (0.225936511499-0.081455348656j),  (0.225936511499-0.055824090345j),  (0.225936511499-0.026329368251j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.265722781333j),  (0.225936511499-0.055824090345j),  (0.225936511499+5.501122400145j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.081455348656j)
 (1.113652628923+0.538124576138j),  (0.559075530524+0.342898726588j),  (0.225936511499-0.058191067831j),  (0.225936511499-0.081455348656j),  (0.225936511499-0.055824090345j),  (0.225936511499-0.282777081213j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.265722781333j),  (0.225936511499-0.966442478704j),  (0.225936511499+5.501122400145j),  (0.225936511499-0.966442478704j)
 (1.113652628923+0.432108281643j),  (0.559075530524-0.247885849522j),  (0.225936511499-0.027711971079j),  (0.225936511499-0.058191067831j),  (0.225936511499-0.081455348656j),  (0.225936511499-0.058191067831j),  (0.225936511499-0.282777081213j),  (0.225936511499-0.966442478704j),  (0.225936511499-0.081455348656j),  (0.225936511499-0.966442478704j),  (0.225936511499+5.501122400145j)
